version,migration_name,classification,canonical_active_match,archived_path
20260711160000,fix_org_rls_recursion_and_events_audit,superseded_conflicting_variant,20260711153040_fix_org_rls_recursion_and_events_audit.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260711160000_fix_org_rls_recursion_and_events_audit.sql
20260712002156,fix_should_send_notification_prefs_columns,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712002156_fix_should_send_notification_prefs_columns.sql
20260712003357,account_follows,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712003357_account_follows.sql
20260712010000,content_hub_analytics_plumbing,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712010000_content_hub_analytics_plumbing.sql
20260712020000,post_templates,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712020000_post_templates.sql
20260712020525,follower_polls_and_analytics,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712020525_follower_polls_and_analytics.sql
20260712110000,org_calendar_token,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712110000_org_calendar_token.sql
20260712120000,event_ticketing_foundation,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712120000_event_ticketing_foundation.sql
20260712173820,event_ticketing_foundation,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260712173820_event_ticketing_foundation.sql
20260713125931,harden_application_documents_storage,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260713125931_harden_application_documents_storage.sql
20260713134049,harden_application_documents_storage,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260713134049_harden_application_documents_storage.sql
20260714015225,hiring_hub_roster_management_compat,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260714015225_hiring_hub_roster_management_compat.sql
20260714222543,harden_band_roster_artist_updates,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260714222543_harden_band_roster_artist_updates.sql
20260714233358,reliable_band_creation_fix,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260714233358_reliable_band_creation_fix.sql
20260715011112,account_scoped_admin_data,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260715011112_account_scoped_admin_data.sql
20260715023000,profile_scoped_epk_settings,superseded_conflicting_variant,20260715043341_profile_scoped_epk_settings.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260715023000_profile_scoped_epk_settings.sql
20260717003042,align_event_participants_events_v2,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717003042_align_event_participants_events_v2.sql
20260717013205,allow_events_audit_trigger_writes,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717013205_allow_events_audit_trigger_writes.sql
20260717194218,harden_security_audit_remediation,superseded_conflicting_variant,20260717194541_harden_security_audit_remediation.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717194218_harden_security_audit_remediation.sql
20260717210000,feed_post_collaborators,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717210000_feed_post_collaborators.sql
20260717210540,music_trust_foundation,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717210540_music_trust_foundation.sql
20260717210553,music_certification_foundation,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717210553_music_certification_foundation.sql
20260717220000,press_content_formats,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717220000_press_content_formats.sql
20260717221000,press_release_shares,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717221000_press_release_shares.sql
20260717231445,music_rights_domain_foundation,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717231445_music_rights_domain_foundation.sql
20260717232000,music_rights_collaboration_and_agreements,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717232000_music_rights_collaboration_and_agreements.sql
20260717233000,music_rights_passports_and_evidence,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717233000_music_rights_passports_and_evidence.sql
20260717234000,music_rights_protection_and_ops,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717234000_music_rights_protection_and_ops.sql
20260717240000,music_royalties_ingestion_and_ledger,invalid_timestamp_local_only,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717240000_music_royalties_ingestion_and_ledger.sql
20260717241000,music_royalties_allocations_payouts_statements,invalid_timestamp_local_only,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717241000_music_royalties_allocations_payouts_statements.sql
